Frequency,Input,Callsign,Description,System/Category,Tag,Updated
451.35000,456.35000,WPZK772,Milne-Kelvin Grove (Lockport Elementary) School District 91,Lockport Schools,Schools,2012:01:22
451.45000,,WQFN614,Operations,St. Joseph's Medical Center - Joliet,Business,2007:03:21
451.48750,456.48750,WQBD915,High School Maintenance [Ch 2],Bolingbrook Schools,Schools,2009:03:11
451.53750,,WPYF331,Naperville Park District (Plainfield),Naperville,Public Works,2007:03:21
451.56250,,WPVA966,Water Distribution Data,Manhattan,Data,2007:03:21
451.72500,456.72500,WQFN614,Operations,St. Joseph's Medical Center - Joliet,Business,2007:03:21
451.82500,,WQET526,Water Distribution Data,Joliet,Data,2009:03:01
451.82500,456.82500,WPRT455,Operations,Chicagoland Speedway (Joliet),Business,2005:07:10
451.86250,,,Site 101 Unidentified LCN,Harrahs Joliet Casino and Hotel,TRS,2010:06:14
451.91250,,,Site 001 Confirmed LCN,Lewis University (Romeoville),TRS,2010:03:30
451.93750,,,Site 103 Joliet (Unidentified LCN),Lakeland Communications (Cook County),TRS,2000:01:01
451.98175,456.98175,WPTZ256,Grand Prairie School Bus (Special Needs) (Cook IL Corp),Joliet Schools,Schools,2011:12:14
451.99375,,,Site 108 Wilmington,Diga-Talk (NID-14),TRS,2010:03:14
452.05000,457.05000,WNPI836,Security / Maintenance [Deleted from Lic 4/13],Silver Cross Hospital (Joliet / New Lenox),Security,2007:03:21
452.15000,,WQFN614,Operations,St. Joseph's Medical Center - Joliet,Business,2007:03:21
452.22500,,WPVC786,Aramark Sports & Entertainment: Conscessions,Silver Cross Field,Business,2008:08:17
452.26250,,,Site 001 Confirmed LCN,Lewis University (Romeoville),TRS,2010:03:30
452.35000,,,Site 103 Joliet (Unidentified LCN),Lakeland Communications (Cook County),TRS,2000:01:01
452.37500,,WQEL588,Water Distribution Data (CSQ),Joliet,Data,2009:06:30
452.38750,,WQET526,Water Distribution Data (CSQ),Joliet,Data,2009:06:30
452.43750,,WQEL588,Water Distribution Data (CSQ) [See Wiki],Joliet,Data,2011:08:09
452.45000,457.45000,WPRT455,Operations,Chicagoland Speedway (Joliet),Business,2005:07:10
452.46250,457.46250,WQII933,Security/Maintenance (in use),University of St. Francis (Joliet),Schools,2010:12:18
452.63750,,WPYF331,Naperville Park District (Plainfield),Naperville,Public Works,2007:03:21
452.70000,457.70000,WQIB499,Tonwship South High School: Maintenance,Plainfield Community Consolidated School District 202,Schools,2015:04:30
452.71250,,WQCE237,Operations,Autobahn Speedway (Joliet),Business,2007:05:27
452.73750,,,Site 001 Confirmed LCN,Lewis University (Romeoville),TRS,2010:03:30
452.75000,,WQEL588,Water Distribution Data,Joliet,Data,2011:05:11
452.83750,,WPVS634,Utility Data,Beecher,Data,2007:03:21
452.83750,,WQCE237,Operations,Autobahn Speedway (Joliet),Business,2007:05:27
452.87500,457.87500,WPPY617,Security (possibly DMR now),St. Joseph's Medical Center - Joliet,Security,2007:08:07
453.00000,458.00000,WPRL958,Joliet Township West High School Security [Ch 2],Joliet Schools,Schools,2007:01:04
453.08750,,WQGE861,Park District,Bolingbrook,Public Works,2007:07:18
453.85000,,KGM472,Outdoor Siren Signaling,Plainfield,Data,2005:07:12
453.85000,458.85000,WSJ230,Tonwship/Town Public Works/Roads,Homer Glen,Public Works,2012:04:19
453.90000,458.90000,KXC531,Campus Police,Governors State University (University Park),Law Dispatch,2012:04:19
456.03750,,WQFN332,Water District Data (CSQ),Braidwood,Data,2009:06:30
456.13750,,WQEN318,Water Distribution Data,Crete,Data,2006:03:19
456.13750,,WQEN318,Water Ops (Voice),Crete,Public Works,2006:03:19
456.31250,,WQCE237,Operations,Autobahn Speedway (Joliet),Business,2007:07:04
456.31250,,WQCE237,Operations,Autobahn Speedway (Joliet),Business,2007:07:04
456.31250,,WQCE237,Operations,Autobahn Speedway (Joliet),Business,2007:07:04
456.31250,,WQCE237,Operations,Autobahn Speedway (Joliet),Business,2007:07:04
456.31250,,WQCE237,Operations,Autobahn Speedway (Joliet),Business,2007:07:04
456.31250,,WQCE237,Operations,Autobahn Speedway (Joliet),Business,2007:07:04
456.53750,,WPYF331,Naperville Park District (Plainfield),Naperville,Public Works,2007:03:21
456.56250,,WPVA966,Water Distribution Data,Manhattan,Data,2007:03:21
456.82500,,WPRT455,Operations,Chicagoland Speedway (Joliet),Business,2005:07:10
457.20000,,WPPY617,Security (possibly DMR now),St. Joseph's Medical Center - Joliet,Security,2005:02:13
457.36250,,WQGP745,Security/Maintenance,FC Janes Park LLC dba Promanade Bolingbrook,Security,2007:05:06
457.38750,,WQGP745,Security/Maintenance,FC Janes Park LLC dba Promanade Bolingbrook,Security,2007:05:06
457.45000,,WPRT455,Operations,Chicagoland Speedway (Joliet),Business,2005:07:10
457.71250,,WQCE237,Operations,Autobahn Speedway (Joliet),Business,2007:05:27
457.83750,,WQCE237,Operations,Autobahn Speedway (Joliet),Business,2007:05:27
458.02500,,WPPC480,Health Department: Ops,Will County Government,Public Works,2012:04:19
458.08750,,WQGE861,Park District,Bolingbrook,Public Works,2007:07:18
458.13750,,WPLY583,AWOS: Data Link,Joliet Regional Airport,Data,2014:02:25
458.85000,,KGM472,Outdoor Siren Signaling,Plainfield,Data,2010:03:14
461.03750,,,Rusty Wallace Racing Experience,Chicagoland Speedway (Joliet),Business,2012:09:13
461.07500,,,Site 103 Joliet (Unidentified LCN),Lakeland Communications (Cook County),TRS,2000:01:01
461.10000,,,Site 007 Joliet [Will],A-Beep / Sears2 - UHF (Chicago),TRS,2009:01:26
461.21250,,,Control Tower - Time Trials,Chicagoland Speedway (Joliet),Business,2013:07:07
461.22500,466.22500,WPBM740,"Processing (United Distillers, Expired)",Diageo Global Supply (Plainfield),Business,2010:03:06
461.25000,,,Site 009 Lockport,A-Beep / Sears2 - UHF (Chicago),TRS,2009:01:26
461.35000,466.35000,WPUT696,Security (United Distillers) (rprtd as 465.35),Diageo Global Supply (Plainfield),Security,2010:03:06
461.35000,467.35000,WPRT455,Grandstand Operations,Chicagoland Speedway (Joliet),Business,2005:07:10
461.38750,466.38750,WPTQ636,Township South High School,Plainfield Community Consolidated School District 202,Schools,2012:04:19
461.40000,466.40000,WQIB499,East High School,Plainfield Community Consolidated School District 202,Schools,2008:12:05
461.40000,,,Site 007 Joliet [Will],A-Beep / Sears2 - UHF (Chicago),TRS,2009:01:26
461.42500,466.42500,KSZ591,Operations,Valley View Public Community Unit School District 365v (Romeoville),Schools,2012:04:19
461.43125,,,Site 108 Wilmington,Diga-Talk (NID-14),TRS,2010:03:14
461.43750,,WQCE237,Operations,Autobahn Speedway (Joliet),Business,2007:05:27
461.45000,,,Site 004 Mokena,A-Beep / Sears2 - UHF (Chicago),TRS,2009:01:26
461.46250,,WQCE237,Operations,Autobahn Speedway (Joliet),Business,2007:05:27
461.47500,466.47500,WQIB499,Township North High School: Ops,Plainfield Community Consolidated School District 202,Schools,2015:04:30
461.48750,,WQCE237,Operations,Autobahn Speedway (Joliet),Business,2007:05:27
461.53750,,,Site 101 Unidentified LCN,Harrahs Joliet Casino and Hotel,TRS,2010:06:14
461.58750,466.58750,WQMG699,Illinois Central School Bus (University Park),School Buses,Schools,2012:10:11
461.60000,466.50000,WPMR282,Security/Maintenance (Naperville),Indian Prairie School District 204 (Naperville/Bollingbrook),Schools,2008:12:05
461.65000,,,Site 009 Lockport,A-Beep / Sears2 - UHF (Chicago),TRS,2009:01:26
461.66250,,,Site 102 Wilmington [Will],A-Beep / Sears2 - UHF (Chicago),TRS,2009:01:27
461.66875,,,Site 114 Shorewood,Diga-Talk (NID-14),TRS,2013:04:30
461.70000,466.70000,WPDX578,"Security ""CONTROL""",Argocy's Empress River Casino (Joliet),Security,2009:09:11
461.71250,466.71250,WQMG699,Illinois Central School Bus (University Park),School Buses,Schools,2012:10:11
461.72500,466.72500,WPDX578,Operations,Argocy's Empress River Casino (Joliet),Business,2009:09:11
461.73750,466.73750,,First Student? (heard like 464.45 Joliet),School Buses,Schools,2008:12:05
461.77500,466.87500,WPPY617,Security (possibly DMR now),St. Joseph's Medical Center - Joliet,Security,2007:03:21
461.80000,,,Site 009 Lockport,A-Beep / Sears2 - UHF (Chicago),TRS,2009:01:26
461.82500,,,Site 004 Mokena,A-Beep / Sears2 - UHF (Chicago),TRS,2009:01:26
461.88750,466.88750,KD54000,Ops (LP R w/ Phone Patch),Lewis University - Romeoville,Schools,2007:03:21
461.91250,466.91250,WQLY921,Operations (in use),Chicagoland Speedway (Joliet),Business,2010:06:14
461.92500,466.92500,WQHN273,Joliet Township High School: Teacher Ops,Joliet Schools,Schools,2008:06:03
461.96250,,,Site 001 Confirmed LCN,Lewis University (Romeoville),TRS,2010:03:30
461.98750,,,Site 101 Unidentified LCN,Harrahs Joliet Casino and Hotel,TRS,2010:06:14
462.00000,,,Site 007 Joliet [Will],A-Beep / Sears2 - UHF (Chicago),TRS,2009:01:26
462.00625,,,Maintenance (462.0125 A Beep?),Diageo Global Supply (Plainfield),Business,2010:03:06
462.03125,,,Site 114 Shorewood,Diga-Talk (NID-14),TRS,2013:04:30
462.05000,467.05000,WPDX578,Operations,Argocy's Empress River Casino (Joliet),Business,2009:09:11
462.05000,,,Site 007 Joliet [Will],A-Beep / Sears2 - UHF (Chicago),TRS,2009:01:26
462.07500,467.07500,WPDX578,Operations,Argocy's Empress River Casino (Joliet),Business,2009:09:11
462.15000,467.15000,WPDX578,Operations (poss tone),Argocy's Empress River Casino (Joliet),Business,2009:09:11
462.18750,,WQDC675,Gander Mountain (Joliet),Retail,Business,2010:06:24
462.50000,467.50000,WPUT697,"P.A.B. (United Distlers, rptd as 467.49375)",Diageo Global Supply (Plainfield),Business,2010:03:06
462.55000,467.55000,GMRS,GMRS Repeater (Joliet),Communication Companies / GMRS,Other,2008:10:12
462.57500,,GMRS,Lowe's Home Improvement (Bolingbrook) [Ch 2],Retail,Business,2007:01:04
462.77500,,WPLW951,Paging (CSQ),Silver Cross Hospital (Joliet / New Lenox),Data,2009:09:21
463.00000,468.00000,,Patient Reports,Silver Cross Hospital (Joliet / New Lenox),Hospital,2010:12:27
463.20000,468.20000,WPPY617,Security (possibly DMR now),St. Joseph's Medical Center - Joliet,Security,2007:03:21
463.27500,,WPPY617,Security (possibly DMR now),St. Joseph's Medical Center - Joliet,Security,2007:03:21
463.28750,468.28750,WQGP745,Security/Maintenance,FC Janes Park LLC dba Promanade Bolingbrook,Security,2007:05:06
463.31250,,,Security,Westfield Corporation - Joliet,Security,2006:02:28
463.32500,,,Site 103 Joliet (Unidentified LCN),Lakeland Communications (Cook County),TRS,2000:01:01
463.35000,468.35000,WPOD874,First Student (Joliet),School Buses,Schools,2008:09:13
463.45000,,,Site 009 Lockport,A-Beep / Sears2 - UHF (Chicago),TRS,2009:01:26
